연번,시설번호,수리형식,시도명,시군구명,시군구코드,도로명주소,지번주소,위도,경도,상세위치,안전센터명,보호틀유무,사용가능여부,설치연도,배관깊이,출수압력,배관지름,관할소방서명,소방서전화번호,표지설치여부,설치주체,적색노면표시,비고
1,동부-영운-지상-004,지상식,충청북도,청주시,43111,충청북도 청주시 상당구 사직대로350번길 21 (서문동),충청북도 청주시 상당구 서문동 124,36.635580937023,127.48636736826,서문동 6-8,영운119안전센터,Y,Y,2000,1.1,5,80,청주동부소방서,043-251-0124,,,,
2,동부-영운-저수조-001,저수조,충청북도,청주시,43111,충청북도 청주시 상당구 무심동로372번길 44 (서문동),충청북도 청주시 상당구 서문동 124,36.63368172,127.4860783,서문시장 입구 도로상 씨스페이스 편의점 앞,영운119안전센터,N,Y,2000,1.3,3.2,100,청주동부소방서,043-251-0124,,,,
3,동부-영운-지상-113-(공),지상식,충청북도,청주시,43111,충청북도 청주시 상당구 성내로124번길 1 (산성동),충청북도 청주시 상당구 산성동 150-4,36.66374161459,127.54159009543,상당마실 앞,영운119안전센터,Y,Y,2024,1.5,4.5,80,청주동부소방서,043-251-0124,,,,
4,동부-영운-지상-114-(공),지상식,충청북도,청주시,43111,충청북도 청주시 상당구 것대로 1 (산성동),충청북도 청주시 상당구 산성동 402-1,36.65402044292,127.54240133473,산성교차로 인근,영운119안전센터,Y,Y,2024,1.0,4.3,150,청주동부소방서,043-251-0124,,,,
5,동부-영운-지상-112-(공),지상식,충청북도,청주시,43111,충청북도 청주시 상당구 수영로101번길 63 (영운동),충청북도 청주시 상당구 영운동 163,36.618661946934,127.49518733097,영운국민체육센터 인근,영운119안전센터,Y,Y,2025,1.3,4.5,150,청주동부소방서,043-251-0124,,,,
6,동부-영운-지상-111-(공),지상식,충청북도,청주시,43111,충청북도 청주시 상당구 단재로 361 (방서동),충청북도 청주시 상당구 지북동 151-2,36.597847221285,127.50796369976,버스정류장 인근,영운119안전센터,Y,Y,2025,1.5,5,100,청주동부소방서,043-251-0124,,,,
7,동부-영운-지상-108-(공),지상식,충청북도,청주시,43111,충청북도 청주시 상당구 쇠내로125번길 18 (금천동),충청북도 청주시 상당구 금천동 115-65,36.62285213,127.5070253,놀부촌생고기 맞은편 수정아파트 담 아래,영운119안전센터,Y,Y,1900,0.5,3.5,100,청주동부소방서,043-251-0124,,,,
8,동부-영운-지상-099-(공),지상식,충청북도,청주시,43111,"충청북도 청주시 상당구 1순환로 1202-3 (방서동,서진빌딩)",충청북도 청주시 상당구 방서동 789,36.60542712,127.4989071,현대오일뱅크 측면 하천 도로 코너 쪽,영운119안전센터,N,Y,2018,0.5,5,100,청주동부소방서,043-251-0124,,,,
9,동부-영운-지상-096-(공),지상식,충청북도,청주시,43111,"충청북도 청주시 상당구 단재로 312 (방서동, 중흥에스-클래스더퍼스트, 112동)",충청북도 청주시 상당구 방서동 653,36.602838640042,127.49937096469,중흥S클래스 111동~112동 사이 측면 도로 상,영운119안전센터,N,Y,2018,0.5,5,100,청주동부소방서,043-251-0124,,,,
10,동부-영운-지상-082-(공),지상식,충청북도,청주시,43111,충청북도 청주시 상당구 2순환로2031번길 6-9 (방서동),충청북도 청주시 상당구 방서동 761,36.597866338338,127.50425765829,주차장 앞 인도,영운119안전센터,Y,Y,2018,0.5,4,100,청주동부소방서,043-251-0124,,,,
11,동부-영운-지상-023-(공),지상식,충청북도,청주시,43111,충청북도 청주시 상당구 중고개로141번길 11-1 (용암동),충청북도 청주시 상당구 용암동 3130,36.61689911,127.5167723,MASIGO 동남지구점 앞,영운119안전센터,Y,Y,2019,0.5,4.5,100,청주동부소방서,043-251-0124,,,,
12,동부-영운-지상-219,지상식,충청북도,청주시,43111,"충청북도 청주시 상당구 용암로 35 (용암동, 임광아파트, 경로당)",충청북도 청주시 상당구 용암동 2093,36.610568779133,127.50721159451,임광아파트 102동 관리사무소 앞 도로변,영운119안전센터,Y,Y,2005,0.5,3.6,100,청주동부소방서,043-251-0124,,,,
13,동부-영운-지상-043-(공),지상식,충청북도,청주시,43111,충청북도 청주시 상당구 동남로 55 (방서동),충청북도 청주시 상당구 방서동 922,36.602695526185,127.51133864798,돈집사 고깃집 뒤편,영운119안전센터,Y,Y,2019,0.5,5,100,청주동부소방서,043-251-0124,,,,
14,동부-영운-지상-065-(공),지상식,충청북도,청주시,43111,충청북도 청주시 상당구 중고개로125번길 40-2 (용암동),충청북도 청주시 상당구 용암동 3167,36.614647120535,127.51492191701,충청북도 청주시 상당구 용암동 3167,영운119안전센터,Y,Y,2019,0.5,5,100,청주동부소방서,043-251-0124,,,,
15,동부-영운-지상-051-(공),지상식,충청북도,청주시,43111,"충청북도 청주시 상당구 월평로253번길 67 (용암동,용암 세원 한아름 아파트)",충청북도 청주시 상당구 용암동 3460,36.608445101754,127.51335218887,충청북도 청주시 상당구 용암동 3460,영운119안전센터,Y,Y,2019,0.5,4,100,청주동부소방서,043-251-0124,,,,
16,동부-영운-지상-050-(공),지상식,충청북도,청주시,43111,"충청북도 청주시 상당구 운동로 31 (용암동,운동초등학교)",충청북도 청주시 상당구 용암동 3487,36.607545018963,127.51310870887,충청북도 청주시 상당구 용암동 3487,영운119안전센터,Y,Y,2019,0.5,5,100,청주동부소방서,043-251-0124,,,,
17,동부-영운-지상-045-(공),지상식,충청북도,청주시,43111,충청북도 청주시 상당구 동남로16번길 9 (방서동),충청북도 청주시 상당구 방서동 929,36.600701931019,127.50761220369,충청북도 청주시 상당구 방서동 830,영운119안전센터,Y,Y,2019,0.5,5,100,청주동부소방서,043-251-0124,,,,
18,동부-영운-지상-033-(공),지상식,충청북도,청주시,43111,충청북도 청주시 상당구 월평로 305 (용암동),충청북도 청주시 상당구 용암동 3645,36.602261828213,127.51422488673,고기육류네마트 옆,영운119안전센터,Y,Y,2019,0.5,4.5,100,청주동부소방서,043-251-0124,,,,
19,동부-영운-지상-024-(공),지상식,충청북도,청주시,43111,충청북도 청주시 상당구 중고개로141번길 13-20 (용암동),충청북도 청주시 상당구 용암동 3130,36.615895664471,127.51741181792,남영동양문(포엠타워) 앞 사거리,영운119안전센터,Y,Y,2019,0.5,5,100,청주동부소방서,043-251-0124,,,,
